Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite de Pruebas,,,2019-02-26 02:26:50,2019-02-26 02:27:04,"13,589s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:51,2019-02-26 02:26:53,"1,930s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:53,2019-02-26 02:26:54,"0,797s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:54,2019-02-26 02:26:55,"0,951s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:55,2019-02-26 02:26:56,"0,515s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:56,2019-02-26 02:26:56,"0,575s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:56,2019-02-26 02:26:57,"0,672s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:57,2019-02-26 02:26:57,"0,566s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:57,2019-02-26 02:26:58,"0,735s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:58,2019-02-26 02:26:59,"0,756s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:26:59,2019-02-26 02:27:00,"0,500s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:00,2019-02-26 02:27:00,"0,549s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:00,2019-02-26 02:27:00,"0,422s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:00,2019-02-26 02:27:01,"0,469s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:01,2019-02-26 02:27:01,"0,360s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:01,2019-02-26 02:27:02,"0,375s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:02,2019-02-26 02:27:02,"0,469s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:02,2019-02-26 02:27:03,"0,461s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:27:03,2019-02-26 02:27:03,"0,422s",ERROR
