Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite de Pruebas,,,2019-02-26 02:30:10,2019-02-26 02:30:31,"20,980s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:12,2019-02-26 02:30:14,"2,793s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:14,2019-02-26 02:30:17,"2,246s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:17,2019-02-26 02:30:17,"0,755s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:17,2019-02-26 02:30:19,"1,596s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:19,2019-02-26 02:30:20,"0,901s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:20,2019-02-26 02:30:22,"1,540s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:22,2019-02-26 02:30:23,"1,116s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:23,2019-02-26 02:30:24,"0,890s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:24,2019-02-26 02:30:25,"1,315s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:25,2019-02-26 02:30:26,"0,578s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:26,2019-02-26 02:30:26,"0,627s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:26,2019-02-26 02:30:27,"0,625s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:27,2019-02-26 02:30:28,"0,709s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:28,2019-02-26 02:30:28,"0,750s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:28,2019-02-26 02:30:29,"0,603s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:29,2019-02-26 02:30:30,"0,735s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:30,2019-02-26 02:30:30,"0,600s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:30:30,2019-02-26 02:30:31,"0,578s",ERROR
