Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite de Pruebas,,,2019-02-26 02:34:32,2019-02-26 02:34:46,"14,209s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:33,2019-02-26 02:34:35,"2,095s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:35,2019-02-26 02:34:36,"0,909s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:36,2019-02-26 02:34:37,"0,928s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:37,2019-02-26 02:34:37,"0,577s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:37,2019-02-26 02:34:38,"0,547s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:38,2019-02-26 02:34:39,"0,879s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:39,2019-02-26 02:34:39,"0,469s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:39,2019-02-26 02:34:40,"0,556s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:40,2019-02-26 02:34:41,"0,828s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:41,2019-02-26 02:34:41,"0,613s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:41,2019-02-26 02:34:42,"0,546s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:42,2019-02-26 02:34:42,"0,437s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:42,2019-02-26 02:34:43,"0,564s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:43,2019-02-26 02:34:43,"0,391s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:43,2019-02-26 02:34:44,"0,480s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:44,2019-02-26 02:34:44,"0,484s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:44,2019-02-26 02:34:45,"0,399s",ERROR
,,,,,,
Test Cases/Login,,,2019-02-26 02:34:45,2019-02-26 02:34:45,"0,360s",ERROR
